"match_id","player1_id","player2_id","p1_winrate","p1_matches_played","p1_avg_svpt","p1_avg_ace","p1_avg_df","p1_avg_duration","p2_winrate","p2_matches_played","p2_avg_svpt","p2_avg_ace","p2_avg_df","p2_avg_duration","surface","best_of","match_weekday","match_month","season_phase","y"
183,102796,102821,0.888888888888889,9,64.1111111111111,5.44444444444444,3.33333333333333,85.1111111111111,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
184,101964,101611,0,2,83,9.5,7.5,86,0.6,5,75.2,4.8,3.6,92.4,"Hard",5,"Mo",1,"early","1"
185,103103,101532,0.333333333333333,3,68,4.66666666666667,3,73.3333333333333,0.5,2,65.5,0.5,1,96.5,"Hard",5,"Mo",1,"early","0"
186,102567,101965,0.666666666666667,3,56.3333333333333,1,0.333333333333333,73,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","0"
187,102563,101900,0.5,2,64,5,4,74.5,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
188,103292,103566,0.666666666666667,6,88.6666666666667,1,4,104.166666666667,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","0"
189,102223,102455,NA,0,NA,NA,NA,NA,1,2,65.5,6.5,5.5,78,"Hard",5,"Mo",1,"early","1"
190,101897,102494,0,1,54,2,0,63,0.5,4,70.75,1.75,2.5,84,"Hard",5,"Mo",1,"early","0"
191,103084,103017,NA,0,NA,NA,NA,NA,0.75,4,62,4.5,3,88.5,"Hard",5,"Mo",1,"early","0"
192,102839,102446,0.666666666666667,3,85.3333333333333,6.66666666666667,6,104.666666666667,0,1,79,6,4,97,"Hard",5,"Mo",1,"early","1"
193,103096,102770,0.333333333333333,3,73,4,2,96.6666666666667,0.5,4,51,2,1.25,74.25,"Hard",5,"Mo",1,"early","1"
194,101826,102466,0,1,55,3,5,69,0,1,52,5,5,58,"Hard",5,"Mo",1,"early","0"
195,102021,103819,0.8,5,93,3.4,2,129.8,0.333333333333333,3,66.3333333333333,8,2.33333333333333,65.6666666666667,"Hard",5,"Mo",1,"early","0"
196,102401,103507,0,1,73,4,2,68,0.666666666666667,3,87.6666666666667,4.33333333333333,4,107,"Hard",5,"Mo",1,"early","0"
197,102133,103252,0,1,80,8,9,107,0.6,5,71.2,1,2.6,91.6,"Hard",5,"Mo",1,"early","1"
198,101962,103157,0.6,5,85.8,4.6,2.2,107.8,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
199,103163,102642,0.5,2,93.5,13.5,4,92,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
200,103294,102610,NA,0,NA,NA,NA,NA,0,1,118,2,4,128,"Hard",5,"Mo",1,"early","1"
201,103420,102061,0.5,2,59,3,2.5,70.5,0,1,64,3,3,65,"Hard",5,"Mo",1,"early","0"
